NH3,NO2,PM10,Lat,Lon,Station
20.89,38.23,29.558,51.54052,5.85307,NL10131
16.1,37.14,37.922,51.54052,5.85307,NL10131
23.6,36.02,36.794,51.54052,5.85307,NL10131
34.23,36.11,30.302,51.54052,5.85307,NL10131
27.98,35.78,,51.54052,5.85307,NL10131
17.04,37.01,34.298,51.54052,5.85307,NL10131
29.44,36.73,35.054,51.54052,5.85307,NL10131
21.47,37.73,36.17,51.54052,5.85307,NL10131
17.35,36.63,34.178,51.54052,5.85307,NL10131
17.72,39.27,38.798,51.54052,5.85307,NL10131
17.56,40.02,28.934,51.54052,5.85307,NL10131
18.91,40.77,14.942,51.54052,5.85307,NL10131
16.52,45.43,28.178,51.54052,5.85307,NL10131
18.5,50.73,55.166,51.54052,5.85307,NL10131
17.77,53.49,52.418,51.54052,5.85307,NL10131
20.22,59.12,50.786,51.54052,5.85307,NL10131
16.0,58.09,49.046,51.54052,5.85307,NL10131
20.84,56.24,47.666,51.54052,5.85307,NL10131
17.4,52.24,42.674,51.54052,5.85307,NL10131
38.81,41.8,34.922,51.54052,5.85307,NL10131
22.72,40.42,32.678,51.54052,5.85307,NL10131
15.22,44.78,44.798,51.54052,5.85307,NL10131
12.35,37.72,41.918,51.54052,5.85307,NL10131
17.72,35.32,39.542,51.54052,5.85307,NL10131
21.36,39.59,48.542,51.54052,5.85307,NL10131
12.72,40.3,46.046,51.54052,5.85307,NL10131
11.73,41.61,44.666,51.54052,5.85307,NL10131
10.79,43.82,40.79,51.54052,5.85307,NL10131
13.92,48.71,,51.54052,5.85307,NL10131
21.31,57.2,50.534,51.54052,5.85307,NL10131
19.59,58.94,52.79,51.54052,5.85307,NL10131
21.62,55.44,38.546,51.54052,5.85307,NL10131
44.8,55.58,42.29,51.54052,5.85307,NL10131
43.34,63.29,32.546,51.54052,5.85307,NL10131
38.6,63.5,27.302,51.54052,5.85307,NL10131
42.04,63.0,28.802,51.54052,5.85307,NL10131
36.31,62.54,38.798,51.54052,5.85307,NL10131
32.67,66.19,42.422,51.54052,5.85307,NL10131
29.02,69.85,50.414,51.54052,5.85307,NL10131
27.04,67.19,46.67,51.54052,5.85307,NL10131
25.17,65.25,36.302,51.54052,5.85307,NL10131
37.35,66.32,34.922,51.54052,5.85307,NL10131
47.04,66.41,48.41,51.54052,5.85307,NL10131
42.98,62.17,45.422,51.54052,5.85307,NL10131
36.41,61.35,40.166,51.54052,5.85307,NL10131
19.85,46.52,36.302,51.54052,5.85307,NL10131
19.85,47.39,,51.54052,5.85307,NL10131
17.98,47.91,36.554,51.54052,5.85307,NL10131
16.1,44.62,42.794,51.54052,5.85307,NL10131
15.79,40.57,34.298,51.54052,5.85307,NL10131
16.1,37.63,41.798,51.54052,5.85307,NL10131
16.1,35.28,45.038,51.54052,5.85307,NL10131
14.85,33.28,60.53,51.54052,5.85307,NL10131
12.67,23.28,46.046,51.54052,5.85307,NL10131
11.42,24.23,35.546,51.54052,5.85307,NL10131
11.73,28.32,36.302,51.54052,5.85307,NL10131
10.79,29.58,40.922,51.54052,5.85307,NL10131
10.48,26.55,30.554,51.54052,5.85307,NL10131
9.54,28.06,31.298,51.54052,5.85307,NL10131
8.92,27.68,23.054,51.54052,5.85307,NL10131
8.6,27.98,17.69,51.54052,5.85307,NL10131
8.6,29.14,2.57,51.54052,5.85307,NL10131
8.29,26.93,16.31,51.54052,5.85307,NL10131
7.98,22.13,6.446,51.54052,5.85307,NL10131
7.98,20.83,12.314,51.54052,5.85307,NL10131
7.66,19.4,25.802,51.54052,5.85307,NL10131
7.35,17.4,16.814,51.54052,5.85307,NL10131
7.35,16.05,-1.174,51.54052,5.85307,NL10131
7.35,15.53,28.058,51.54052,5.85307,NL10131
7.98,15.74,46.046,51.54052,5.85307,NL10131
8.6,15.11,12.314,51.54052,5.85307,NL10131
8.6,16.07,,51.54052,5.85307,NL10131
8.6,17.73,4.07,51.54052,5.85307,NL10131
8.13,22.54,7.07,51.54052,5.85307,NL10131
7.04,21.53,15.314,51.54052,5.85307,NL10131
6.73,19.23,25.058,51.54052,5.85307,NL10131
7.35,15.09,4.814,51.54052,5.85307,NL10131
7.98,19.37,4.814,51.54052,5.85307,NL10131
8.6,18.22,14.558,51.54052,5.85307,NL10131
8.6,12.05,7.19,51.54052,5.85307,NL10131
8.29,15.47,10.07,51.54052,5.85307,NL10131
7.98,17.16,9.314,51.54052,5.85307,NL10131
7.66,19.07,15.314,51.54052,5.85307,NL10131
7.04,17.08,9.314,51.54052,5.85307,NL10131
7.04,23.98,18.314,51.54052,5.85307,NL10131
6.73,28.97,,51.54052,5.85307,NL10131
7.04,20.09,13.058,51.54052,5.85307,NL10131
6.73,14.77,7.07,51.54052,5.85307,NL10131
5.79,4.05,,51.54052,5.85307,NL10131
6.1,6.02,2.57,51.54052,5.85307,NL10131
7.04,7.69,2.57,51.54052,5.85307,NL10131
8.29,7.17,7.814,51.54052,5.85307,NL10131
8.29,7.31,13.814,51.54052,5.85307,NL10131
8.6,9.84,10.814,51.54052,5.85307,NL10131
8.6,10.48,22.43,51.54052,5.85307,NL10131
8.19,12.56,13.814,51.54052,5.85307,NL10131
7.66,13.57,,51.54052,5.85307,NL10131
7.66,14.26,4.814,51.54052,5.85307,NL10131
8.08,12.55,11.57,51.54052,5.85307,NL10131
8.29,10.38,16.058,51.54052,5.85307,NL10131
8.6,9.52,10.07,51.54052,5.85307,NL10131
8.29,9.15,7.07,51.54052,5.85307,NL10131
7.98,12.58,5.57,51.54052,5.85307,NL10131
6.41,11.48,,51.54052,5.85307,NL10131
7.3,15.44,8.57,51.54052,5.85307,NL10131
7.98,18.52,10.814,51.54052,5.85307,NL10131
9.85,23.46,9.314,51.54052,5.85307,NL10131
10.16,25.84,13.814,51.54052,5.85307,NL10131
9.23,37.89,15.314,51.54052,5.85307,NL10131
8.92,33.36,4.07,51.54052,5.85307,NL10131
8.29,39.4,22.802,51.54052,5.85307,NL10131
8.03,34.81,21.314,51.54052,5.85307,NL10131
8.6,34.23,32.546,51.54052,5.85307,NL10131
8.29,29.28,31.802,51.54052,5.85307,NL10131
7.98,20.38,20.558,51.54052,5.85307,NL10131
7.04,14.32,23.054,51.54052,5.85307,NL10131
6.73,12.96,19.058,51.54052,5.85307,NL10131
6.83,14.35,33.302,51.54052,5.85307,NL10131
7.35,11.87,33.302,51.54052,5.85307,NL10131
7.66,9.25,31.802,51.54052,5.85307,NL10131
7.66,9.51,17.558,51.54052,5.85307,NL10131
7.66,12.02,,51.54052,5.85307,NL10131
7.82,10.08,19.058,51.54052,5.85307,NL10131
7.04,8.12,9.314,51.54052,5.85307,NL10131
7.35,8.85,-0.43,51.54052,5.85307,NL10131
7.35,8.34,9.314,51.54052,5.85307,NL10131
7.66,8.47,8.57,51.54052,5.85307,NL10131
7.98,6.94,9.314,51.54052,5.85307,NL10131
7.66,6.01,14.558,51.54052,5.85307,NL10131
7.66,6.1,15.314,51.54052,5.85307,NL10131
7.66,5.93,13.058,51.54052,5.85307,NL10131
7.66,5.9,11.57,51.54052,5.85307,NL10131
7.66,5.9,19.058,51.54052,5.85307,NL10131
7.66,6.82,14.558,51.54052,5.85307,NL10131
7.35,6.17,19.058,51.54052,5.85307,NL10131
6.73,4.81,20.558,51.54052,5.85307,NL10131
6.73,4.86,28.802,51.54052,5.85307,NL10131
6.73,4.4,26.558,51.54052,5.85307,NL10131
6.41,3.87,4.814,51.54052,5.85307,NL10131
6.41,3.61,13.814,51.54052,5.85307,NL10131
6.1,5.4,29.558,51.54052,5.85307,NL10131
6.1,12.31,25.802,51.54052,5.85307,NL10131
5.48,11.88,,51.54052,5.85307,NL10131
4.85,12.29,19.058,51.54052,5.85307,NL10131
5.48,10.57,34.802,51.54052,5.85307,NL10131
7.04,6.35,-0.43,51.54052,5.85307,NL10131
7.98,5.29,8.57,51.54052,5.85307,NL10131
7.93,5.27,7.07,51.54052,5.85307,NL10131
7.35,5.72,23.558,51.54052,5.85307,NL10131
6.41,5.27,18.314,51.54052,5.85307,NL10131
6.1,2.59,11.57,51.54052,5.85307,NL10131
5.48,2.78,5.822,51.54052,5.85307,NL10131
5.79,4.21,6.314,51.54052,5.85307,NL10131
5.48,4.76,7.07,51.54052,5.85307,NL10131
7.04,5.85,10.814,51.54052,5.85307,NL10131
7.66,9.96,-1.93,51.54052,5.85307,NL10131
