NH3,NO2,PM10,Lat,Lon,Station
0.58,2.46,24.728,52.875725,6.932432,NL10929
0.51,2.81,23.72,52.875725,6.932432,NL10929
0.51,3.35,27.752,52.875725,6.932432,NL10929
0.51,3.99,25.484,52.875725,6.932432,NL10929
0.51,4.85,22.088,52.875725,6.932432,NL10929
0.51,4.03,,52.875725,6.932432,NL10929
0.51,3.51,22.844,52.875725,6.932432,NL10929
0.58,3.35,30.392,52.875725,6.932432,NL10929
0.51,3.16,26.36,52.875725,6.932432,NL10929
0.51,3.86,22.34,52.875725,6.932432,NL10929
0.58,4.72,31.904,52.875725,6.932432,NL10929
0.58,6.58,20.204,52.875725,6.932432,NL10929
0.58,8.69,14.924,52.875725,6.932432,NL10929
0.58,11.08,7.376,52.875725,6.932432,NL10929
0.58,13.99,8.888,52.875725,6.932432,NL10929
0.58,20.11,8.132,52.875725,6.932432,NL10929
0.64,15.75,40.196,52.875725,6.932432,NL10929
0.64,11.93,23.972,52.875725,6.932432,NL10929
0.7,11.26,13.04,52.875725,6.932432,NL10929
0.7,11.22,0.968,52.875725,6.932432,NL10929
0.77,10.59,9.644,52.875725,6.932432,NL10929
0.77,10.83,5.492,52.875725,6.932432,NL10929
0.77,10.61,-0.172,52.875725,6.932432,NL10929
0.83,10.32,7.376,52.875725,6.932432,NL10929
0.83,9.83,13.796,52.875725,6.932432,NL10929
0.77,9.97,8.504,52.875725,6.932432,NL10929
0.77,11.43,12.656,52.875725,6.932432,NL10929
0.77,9.62,14.924,52.875725,6.932432,NL10929
0.7,5.57,7.004,52.875725,6.932432,NL10929
0.7,4.34,16.052,52.875725,6.932432,NL10929
0.7,4.66,,52.875725,6.932432,NL10929
0.64,4.76,28.628,52.875725,6.932432,NL10929
0.58,5.09,23.6,52.875725,6.932432,NL10929
0.51,4.62,23.6,52.875725,6.932432,NL10929
0.45,4.26,10.772,52.875725,6.932432,NL10929
0.45,4.7,10.016,52.875725,6.932432,NL10929
0.45,4.6,5.492,52.875725,6.932432,NL10929
0.45,5.0,1.964,52.875725,6.932432,NL10929
0.45,6.88,7.004,52.875725,6.932432,NL10929
0.51,10.73,1.724,52.875725,6.932432,NL10929
0.5,16.67,3.224,52.875725,6.932432,NL10929
0.45,24.01,2.216,52.875725,6.932432,NL10929
0.45,20.71,10.016,52.875725,6.932432,NL10929
0.51,19.77,24.356,52.875725,6.932432,NL10929
0.58,18.44,24.86,52.875725,6.932432,NL10929
0.64,24.43,26.612,52.875725,6.932432,NL10929
0.7,29.92,11.528,52.875725,6.932432,NL10929
0.77,33.47,20.576,52.875725,6.932432,NL10929
0.77,35.31,8.0,52.875725,6.932432,NL10929
